date_kst,ticker,group,vol_tier,price,per_trailing,per_forward,pct_off_52wk_high,rsi,ma50_pos,ma200_pos,buy_stars,sell_stars,markers,data_path,note
2026-09-15,MSFT,①,표준,505.41,27.61,25.59,-8.73,61.39,above,above,1,2,⚠️🔗,normal,"저평가신호2개(c,d),RSI60대로매수조건미충족,macrotrends확보불가"
2026-09-15,AAPL,①,표준,333.08,38.12,37.74,-3.33,63.32,above,above,1,2,,normal,"52주고점근접,저평가신호1개(c),forward-trailing격차미미"
2026-09-15,NVDA,①,표준,210.96,26.68,17.51,-10.81,43.92,near,above,2,1,🔗❓,normal,"저평가신호3개(a,c,d),forecast페이지PER추출불안정(3회상이)→statistics대체채택"
2026-09-15,AVGO,①,표준,344.72,46.21,29.57,-30.36,34.32,below,below,3,1,🚨🔗❓,normal,"저평가신호2개(a,c),forward PER페이지간41%괴리(non-GAAP기준차이추정),RSI30대분할매수개시"
2026-09-15,AMD,①,표준,493.41,131.74,65.23,-15.62,51.53,near,above,1,1,🔗❓,normal,"trailing PER131.74극단적고밸류,업종대비(c)(d)프리미엄,규칙6매수신호무효화"
2026-09-15,ORCL,①,고변동,144.79,23.56,17.79,-56.06,46.40,above,below,1,1,🚨🔗❓,normal,"52주최대낙폭,FCFYield-6.62%Absolute하한적용,RSI중립회복으로규칙6매수신호무효화"
2026-09-15,GOOGL,①,표준,349.39,16.98,16.96,-14.49,55.15,near,above,2,1,❓,normal,"데이터불충분-판단보류(forward PER페이지간33%불일치+업종카테고리모호,❓2건중첩)"
2026-09-15,META,①,표준,665.60,24.42,21.34,-15.83,70.77,above,above,1,3,⚠️❓,normal,"데이터불충분-판단보류(업종카테고리모호+규칙6괴리),RSI70대매도비중축소"
2026-09-15,NFLX,①,표준,80.32,25.30,22.37,-35.67,55.89,above,below,1,1,🚨❓,normal,"저평가신호2개(a,c)이나RSI중립회복으로규칙6매수신호무효화,3회차연속동일패턴"
2026-09-15,BLK,②,표준,1065.60,25.81,18.93,-12.65,37.23,below,near,3,1,⚠️,normal,"저평가신호3개(a,c,d),RSI37.23경계값(40)근접"
2026-09-15,JPM,②,표준,350.13,15.29,14.49,-4.47,44.16,near,above,1,1,,normal,"저평가신호0개,FCF Yield음수는은행업회계특성(대출증가등)으로판단,Absolute하한미적용"
2026-09-15,LLY,①,표준,1138.28,37.45,31.01,-11.94,42.46,below,above,2,1,⚠️,normal,"저평가신호2개(a,c),RSI42.46로37-43경계값근접,EV/EBITDA는업종대비프리미엄"
2026-09-15,UNH,①,표준,383.55,24.40,19.36,-16.91,39.60,below,above,3,1,⚠️,normal,"저평가신호3개(a,c,e),FCFYield6.84%로시장평균상회,RSI30대상단으로★★★★미달"
2026-09-15,TEM,③,고변동,62.21,,,-40.37,53.48,above,above,1,1,🔗💧❓,normal,"At Loss정상처리,영업손실·FCF마이너스Absolute하한적용(RSI캡이더제한적),규칙6괴리"
2026-09-15,LMT,①,표준,529.38,19.32,17.37,-23.50,39.78,below,below,3,1,🚨⚠️,normal,"저평가신호4개(a,c,d,e),RSI39.78로30대상단★★★★미달,3회차연속재현"
2026-09-15,GE,①,표준,317.56,38.15,40.12,-18.33,31.66,below,near,3,1,⚠️❓,normal,"저평가신호1개(c,신규Damodaran도입으로1~3회차0개에서최초변화),업종카테고리모호,RSI30근접"
2026-09-15,PLTR,③,고변동,173.31,143.03,107.74,-16.49,53.71,above,above,1,1,🔗❓,normal,"EV/Sales66.16x초고밸류,저평가신호0개,RSI중립회복으로규칙6매수신호무효화"
2026-09-15,CRWV,③,고변동,82.98,,,-45.85,44.55,below,below,1,1,🚨🔗💧❓,normal,"At Loss정상처리,TTM적자·FCF-29%Absolute하한적용,규칙6괴리(RSI캡이더제한적)"
2026-09-15,SMCI,③,고변동,36.74,11.29,8.47,-37.50,50.68,above,above,1,1,🔗💧❓,normal,"FCFYield-28.89%Absolute하한적용,4회차연속밸류트랩의심,규칙6괴리"
2026-09-15,INTC,④,고변동,97.19,,64.17,-31.73,50.33,near,above,1,1,💧❓,normal,"At Loss처리(순이익적자,영업이익은2분기연속흑자),혼재프로필로보수적산정"
2026-09-15,MU,④,고변동,924.03,22.01,12.58,-26.37,46.41,near,above,1,1,🔗❓,normal,"forward PER페이지간1.86배괴리,밸류트랩의심(흑자확인,사이클정점우려)"
